parameterWaterBodyCategory,observedPropertyDeterminandCode,procedureAnalysedFraction,procedureAnalysedMedia,resultUom,phenomenonTimeReferenceYear,parameterSamplingPeriod,resultMeanValue,waterBodyIdentifier,Country,PopulationDensity,TerraMarineProtected_2016_2018,TouristMean_1990_2020,VenueCount,netMigration_2011_2018,droughts_floods_temperature,literacyRate_2010_2018,combustibleRenewables_2009_2014,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,waste_treatment_recycling_percent
RW,CAS_7723-14-0,total,water,mg{P}/L,2011,2011-01--2011-12,0.0198909,ATOK900470056,Austria,107.127966860564,28.413315299263893,19909000.0,4.0,74021.25,0.0381529782796336,0.0,13.546450447601153,420040461384.701,31.4,7.0,4.4,18.5,19.7,11.1,0.0,7.9,0.0,25.66
RW,CAS_14265-44-2,total,water,mg{P}/L,2009,2009-01--2009-12,0.011833,DERW_DESN_674-10,Germany,237.30759674834,38.767233989074136,22635423.0,0.0,582211.0,0.0328245736854824,0.0,3.746739914932753,3781698549834.74,30.0,10.0,1.4,17.7,24.0,13.0,4.0,0.0,0.0,47.83
RW,EEA_3121-01-5,total,water,Cel,2009,2009-01--2009-12,12.5593,DERW_DESN_674-10,Germany,237.30759674834,38.767233989074136,22635423.0,0.0,582211.0,0.0328245736854824,0.0,3.746739914932753,3781698549834.74,30.0,10.0,1.4,17.7,24.0,13.0,4.0,0.0,0.0,47.83
RW,CAS_14798-03-9,total,water,mg{NH4}/L,2009,2009-01--2009-12,0.080425296,DERW_DEST_EL03OW01-00,Germany,237.30759674834,38.767233989074136,22635423.0,7.0,582211.0,0.0328245736854824,0.0,3.746739914932753,3781698549834.74,30.0,10.0,1.4,17.7,24.0,13.0,4.0,0.0,0.0,47.83
RW,CAS_14797-55-8,total,water,mg{NO3}/L,2009,2009-01--2009-12,15.02253753,DERW_DEST_EL03OW01-00,Germany,237.30759674834,38.767233989074136,22635423.0,7.0,582211.0,0.0328245736854824,0.0,3.746739914932753,3781698549834.74,30.0,10.0,1.4,17.7,24.0,13.0,4.0,0.0,0.0,47.83
RW,CAS_7723-14-0,total,water,mg{P}/L,2009,2009-01--2009-12,0.143333,DERW_DEST_EL03OW01-00,Germany,237.30759674834,38.767233989074136,22635423.0,7.0,582211.0,0.0328245736854824,0.0,3.746739914932753,3781698549834.74,30.0,10.0,1.4,17.7,24.0,13.0,4.0,0.0,0.0,47.83
RW,CAS_7723-14-0,total,water,mg{P}/L,2009,2009-01--2009-12,0.182143,DERW_DEST_MEL07OW01-00,Germany,237.30759674834,38.767233989074136,22635423.0,4.0,582211.0,0.0328245736854824,0.0,3.746739914932753,3781698549834.74,30.0,10.0,1.4,17.7,24.0,13.0,4.0,0.0,0.0,47.83
RW,CAS_7723-14-0,total,water,mg{P}/L,2009,2009-01--2009-12,0.09,DERW_DEST_SE04OW01-00,Germany,237.30759674834,38.767233989074136,22635423.0,1.0,582211.0,0.0328245736854824,0.0,3.746739914932753,3781698549834.74,30.0,10.0,1.4,17.7,24.0,13.0,4.0,0.0,0.0,47.83
RW,CAS_15307-86-5,total,water,ug/L,2010,2010-01-25--2010-12-13,0.02,CZHSL_2050,Czech Republic,137.657705257705,21.99909212365624,6063076.0,6.0,21256.75,0.1557459877920619,11.09255896674262,5.7585803726136255,231340463131.439,62.3,2.4,8.4,14.899999999999997,9.1,2.2,0.0,0.7,0.0,25.5
RW,CAS_15307-86-5,total,water,ug/L,2010,2010-01-06--2010-12-08,0.19283,CZBER_0350,Czech Republic,137.657705257705,21.99909212365624,6063076.0,5.0,21256.75,0.1557459877920619,11.09255896674262,5.7585803726136255,231340463131.439,62.3,2.4,8.4,14.899999999999997,9.1,2.2,0.0,0.7,0.0,25.5
RW,CAS_15307-86-5,total,water,ug/L,2011,2011-01-26--2011-12-14,0.02,CZOHL_0200,Czech Republic,137.657705257705,21.99909212365624,6063076.0,0.0,21256.75,0.1557459877920619,11.09255896674262,5.7585803726136255,231340463131.439,62.3,2.4,8.4,14.899999999999997,9.1,2.2,0.0,0.7,0.0,25.5
RW,CAS_138261-41-3,total,water,ug/L,2016,2016-01-12--2016-03-01,0.01,CZDVL_0760,Czech Republic,137.657705257705,21.99909212365624,6063076.0,6.0,21256.75,0.1557459877920619,11.09255896674262,5.7585803726136255,231340463131.439,62.3,2.4,8.4,14.899999999999997,9.1,2.2,0.0,0.7,0.0,25.5
RW,CAS_7723-14-0,total,water,mg{P}/L,2011,2011-01--2011-12,0.0742417,ATOK903760009,Austria,107.127966860564,28.413315299263893,19909000.0,2.0,74021.25,0.0381529782796336,0.0,13.546450447601153,420040461384.701,31.4,7.0,4.4,18.5,19.7,11.1,0.0,7.9,0.0,25.66
RW,EEA_3164-08-7,total,water,{massRatio},2008,2008-01--2008-12,4.60007,FRCR457,Germany,237.30759674834,38.767233989074136,22635423.0,4.0,582211.0,0.0328245736854824,0.0,3.746739914932753,3781698549834.74,30.0,10.0,1.4,17.7,24.0,13.0,4.0,0.0,0.0,47.83
RW,EEA_3131-01-9,total,water,%,2011,2011-01--2011-12,95.2588,ATOK305340011,Austria,107.127966860564,28.413315299263893,19909000.0,4.0,74021.25,0.0381529782796336,0.0,13.546450447601153,420040461384.701,31.4,7.0,4.4,18.5,19.7,11.1,0.0,7.9,0.0,25.66
RW,CAS_7723-14-0,total,water,mg{P}/L,2011,2011-01--2011-12,0.0491875,ATOK305340011,Austria,107.127966860564,28.413315299263893,19909000.0,4.0,74021.25,0.0381529782796336,0.0,13.546450447601153,420040461384.701,31.4,7.0,4.4,18.5,19.7,11.1,0.0,7.9,0.0,25.66
