parameterWaterBodyCategory,observedPropertyDeterminandCode,procedureAnalysedFraction,procedureAnalysedMedia,resultUom,phenomenonTimeReferenceYear,parameterSamplingPeriod,resultMeanValue,waterBodyIdentifier,Country,PopulationDensity,TerraMarineProtected_2016_2018,TouristMean_1990_2020,VenueCount,netMigration_2011_2018,droughts_floods_temperature,literacyRate_2010_2018,combustibleRenewables_2009_2014,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,waste_treatment_recycling_percent
RW,EEA_3161-02-2,total,water,mg{N}/L,2007,2007-01--2007-12,1.7923,UKSC023165,United Kingdom,274.70898193692403,26.637510770071906,25867961.0,0.0,325435.125,0.0324070189450731,0.0,1.7286754956481367,2757620259273.38,16.7,2.2,3.5,28.2,18.9,20.2,0.0,7.6,2.7,27.25
RW,EEA_3161-02-2,total,water,mg{N}/L,2007,2007-01--2007-12,3.1944,UKSC023155,United Kingdom,274.70898193692403,26.637510770071906,25867961.0,0.0,325435.125,0.0324070189450731,0.0,1.7286754956481367,2757620259273.38,16.7,2.2,3.5,28.2,18.9,20.2,0.0,7.6,2.7,27.25
RW,EEA_3161-02-2,total,water,mg{N}/L,2007,2007-01--2007-12,0.0728,UKSC020095,United Kingdom,274.70898193692403,26.637510770071906,25867961.0,0.0,325435.125,0.0324070189450731,0.0,1.7286754956481367,2757620259273.38,16.7,2.2,3.5,28.2,18.9,20.2,0.0,7.6,2.7,27.25
RW,EEA_3161-02-2,total,water,mg{N}/L,2007,2007-01--2007-12,0.0845,UKSC020433,United Kingdom,274.70898193692403,26.637510770071906,25867961.0,0.0,325435.125,0.0324070189450731,0.0,1.7286754956481367,2757620259273.38,16.7,2.2,3.5,28.2,18.9,20.2,0.0,7.6,2.7,27.25
RW,EEA_3161-02-2,total,water,mg{N}/L,2007,2007-01--2007-12,7.4808,UKSC005207,United Kingdom,274.70898193692403,26.637510770071906,25867961.0,5.0,325435.125,0.0324070189450731,0.0,1.7286754956481367,2757620259273.38,16.7,2.2,3.5,28.2,18.9,20.2,0.0,7.6,2.7,27.25
RW,EEA_3161-02-2,total,water,mg{N}/L,2007,2007-01--2007-12,0.4696,UKSC005287,United Kingdom,274.70898193692403,26.637510770071906,25867961.0,0.0,325435.125,0.0324070189450731,0.0,1.7286754956481367,2757620259273.38,16.7,2.2,3.5,28.2,18.9,20.2,0.0,7.6,2.7,27.25
RW,EEA_3161-02-2,total,water,mg{N}/L,2007,2007-01--2007-12,0.142,UKSC010562,United Kingdom,274.70898193692403,26.637510770071906,25867961.0,0.0,325435.125,0.0324070189450731,0.0,1.7286754956481367,2757620259273.38,16.7,2.2,3.5,28.2,18.9,20.2,0.0,7.6,2.7,27.25
RW,EEA_3161-02-2,total,water,mg{N}/L,2006,2006-01--2006-12,0.6203,UKSC010758,United Kingdom,274.70898193692403,26.637510770071906,25867961.0,0.0,325435.125,0.0324070189450731,0.0,1.7286754956481367,2757620259273.38,16.7,2.2,3.5,28.2,18.9,20.2,0.0,7.6,2.7,27.25
RW,EEA_3161-02-2,total,water,mg{N}/L,2006,2006-01--2006-12,2.492,UKSC010669,United Kingdom,274.70898193692403,26.637510770071906,25867961.0,18.0,325435.125,0.0324070189450731,0.0,1.7286754956481367,2757620259273.38,16.7,2.2,3.5,28.2,18.9,20.2,0.0,7.6,2.7,27.25
RW,CAS_14265-44-2,total,water,mg{P}/L,2008,2008-01--2008-12,0.0528,UKSC003800,United Kingdom,274.70898193692403,26.637510770071906,25867961.0,24.0,325435.125,0.0324070189450731,0.0,1.7286754956481367,2757620259273.38,16.7,2.2,3.5,28.2,18.9,20.2,0.0,7.6,2.7,27.25
RW,CAS_14265-44-2,total,water,mg{P}/L,2008,2008-01--2008-12,0.0346,UKSC006832,United Kingdom,274.70898193692403,26.637510770071906,25867961.0,14.0,325435.125,0.0324070189450731,0.0,1.7286754956481367,2757620259273.38,16.7,2.2,3.5,28.2,18.9,20.2,0.0,7.6,2.7,27.25
