parameterWaterBodyCategory,observedPropertyDeterminandCode,procedureAnalysedFraction,procedureAnalysedMedia,resultUom,phenomenonTimeReferenceYear,parameterSamplingPeriod,resultMeanValue,waterBodyIdentifier,Country,PopulationDensity,TerraMarineProtected_2016_2018,TouristMean_1990_2020,VenueCount,netMigration_2011_2018,droughts_floods_temperature,literacyRate_2010_2018,combustibleRenewables_2009_2014,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,waste_treatment_recycling_percent
RW,EEA_3151-01-7,total,water,mmol/L,2009,2009-01--2009-12,0.2068,ES014MSPFES-014-NR-038-000-02-02,Spain,93.6771974435832,15.047884084971097,50941692.0,4.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,CAS_14797-55-8,total,water,mg{NO3}/L,2009,2009-01--2009-12,2.4777919,ES014MSPFES-014-NR-038-000-02-02,Spain,93.6771974435832,15.047884084971097,50941692.0,4.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,CAS_7723-14-0,total,water,mg{P}/L,2009,2009-01--2009-12,0.0133,ES014MSPFES-014-NR-038-000-02-02,Spain,93.6771974435832,15.047884084971097,50941692.0,4.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
GW,CAS_7440-43-9,total,water,ug/L,2016,2015-10-01--2016-09-30,25.0,ES040MSBT000030612,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
GW,CAS_16887-00-6,total,water,mg/L,2016,2015-10-01--2016-09-30,328.38,ES040MSBT000030612,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
GW,CAS_67-66-3,total,water,ug/L,2016,2015-10-01--2016-09-30,5.41,ES040MSBT000030612,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
GW,CAS_2921-88-2,total,water,ug/L,2016,2015-10-01--2016-09-30,0.02,ES040MSBT000030612,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
RW,CAS_7723-14-0,total,water,mg{P}/L,2009,2009-01--2009-12,0.0147,ES10603,Spain,93.6771974435832,15.047884084971097,50941692.0,0.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
GW,CAS_35065-27-1,total,water,ug/L,2016,2015-10-01--2016-09-30,0.02,ES040MSBT000030612,Spain,93.6771974435832,15.047884084971097,50941692.0,4.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
GW,CAS_35065-29-3,total,water,ug/L,2016,2015-10-01--2016-09-30,0.02,ES040MSBT000030612,Spain,93.6771974435832,15.047884084971097,50941692.0,4.0,-40055.25,0.729193518337962,87.15892367892796,4.363288334589893,1464508831011.81,49.0,8.0,3.0,14.0,15.0,9.0,0.0,2.0,0.0,16.84
