parameterWaterBodyCategory,observedPropertyDeterminandCode,procedureAnalysedFraction,procedureAnalysedMedia,resultUom,phenomenonTimeReferenceYear,parameterSamplingPeriod,resultMeanValue,waterBodyIdentifier,Country,PopulationDensity,TerraMarineProtected_2016_2018,TouristMean_1990_2020,VenueCount,netMigration_2011_2018,droughts_floods_temperature,literacyRate_2010_2018,combustibleRenewables_2009_2014,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,waste_treatment_recycling_percent
RW,CAS_14797-65-0,total,water,mg{NO2}/L,2009,2009-01--2009-12,0.0633100513,FRDR609,France,122.299437237519,30.8319059046492,71176346.0,0.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26
RW,CAS_14797-65-0,total,water,mg{NO2}/L,2009,2009-01--2009-12,0.04673285135,FRFR238,France,122.299437237519,30.8319059046492,71176346.0,0.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26
RW,EEA_3164-07-6,total,water,{massRatio},2009,2009-01--2009-12,132.859,FRFR238,France,122.299437237519,30.8319059046492,71176346.0,0.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26
RW,CAS_14797-55-8,total,water,mg{NO3}/L,2009,2009-01--2009-12,11.5783758,FRFR327C,France,122.299437237519,30.8319059046492,71176346.0,2.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26
RW,EEA_3164-08-7,total,water,{massRatio},2009,2009-01--2009-12,165.232,FRGR0220,France,122.299437237519,30.8319059046492,71176346.0,0.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26
RW,EEA_3131-01-9,total,water,%,2009,2009-01--2009-12,80.9833,FRGR0220,France,122.299437237519,30.8319059046492,71176346.0,0.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26
RW,EEA_3164-07-6,total,water,{massRatio},2009,2009-01--2009-12,86.6594,FRGR0220,France,122.299437237519,30.8319059046492,71176346.0,0.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26
RW,CAS_7723-14-0,total,water,mg{P}/L,2009,2009-01--2009-12,0.0591666999999999,FRGR0220,France,122.299437237519,30.8319059046492,71176346.0,0.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26
RW,EEA_3161-03-3,total,water,mg{N}/L,2009,2009-04--2009-10,0.93,FRGR0220,France,122.299437237519,30.8319059046492,71176346.0,0.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26
RW,EEA_3131-01-9,total,water,%,2009,2009-01--2009-12,80.175,FRGR0005B,France,122.299437237519,30.8319059046492,71176346.0,6.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26
RW,EEA_3152-01-0,total,water,[pH],2009,2009-01--2009-12,7.689189999999999,FRGR0005B,France,122.299437237519,30.8319059046492,71176346.0,6.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26
RW,EEA_3163-01-7,total,water,mg{Si}/L,2009,2009-01--2009-12,9.15458,FRGR0004A,France,122.299437237519,30.8319059046492,71176346.0,3.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26
RW,EEA_3131-01-9,total,water,%,2009,2009-01--2009-12,81.3,FRGR0167A,France,122.299437237519,30.8319059046492,71176346.0,1.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26
RW,EEA_3133-01-5,total,water,mg{O2}/L,2009,2009-01--2009-12,1.0625,FRGR1496,France,122.299437237519,30.8319059046492,71176346.0,4.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26
RW,CAS_14265-44-2,total,water,mg{P}/L,2009,2009-01--2009-12,0.0385596,FRGR1496,France,122.299437237519,30.8319059046492,71176346.0,4.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26
RW,EEA_3152-01-0,total,water,[pH],2009,2009-01--2009-12,7.63017,FRGR0004A,France,122.299437237519,30.8319059046492,71176346.0,4.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26
RW,EEA_3161-01-1,total,water,mg{N}/L,2009,2009-01--2009-12,1.0,FRDR179,France,122.299437237519,30.8319059046492,71176346.0,3.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26
RW,EEA_3161-05-5,total,water,mg{N}/L,2009,2009-01--2009-12,0.2442030000000001,FRDR179,France,122.299437237519,30.8319059046492,71176346.0,3.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26
RW,CAS_14797-65-0,total,water,mg{NO2}/L,2009,2009-01--2009-12,0.01999262012,FRDR175B,France,122.299437237519,30.8319059046492,71176346.0,5.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26
RW,CAS_14798-03-9,total,water,mg{NH4}/L,2009,2009-01--2009-12,0.159449248,FRDR174,France,122.299437237519,30.8319059046492,71176346.0,0.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26
RW,EEA_3164-07-6,total,water,{massRatio},2009,2009-01--2009-12,37.9861,FRDR174,France,122.299437237519,30.8319059046492,71176346.0,0.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26
RW,CAS_7723-14-0,total,water,mg{P}/L,2009,2009-01--2009-12,0.0566666999999999,FRDR174,France,122.299437237519,30.8319059046492,71176346.0,0.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26
RW,EEA_3164-01-0,total,water,ug/L,2009,2009-01--2009-12,4.125,FRDR174,France,122.299437237519,30.8319059046492,71176346.0,3.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26
RW,EEA_3142-01-6,total,water,uS/cm,2009,2009-01--2009-12,503.75,FRDR174,France,122.299437237519,30.8319059046492,71176346.0,3.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26
RW,EEA_3161-01-1,total,water,mg{N}/L,2009,2009-01--2009-12,1.0,FRDR174,France,122.299437237519,30.8319059046492,71176346.0,3.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26
RW,EEA_3161-05-5,total,water,mg{N}/L,2009,2009-01--2009-12,1.4336799999999998,FRDR174,France,122.299437237519,30.8319059046492,71176346.0,3.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26
RW,EEA_3133-01-5,total,water,mg{O2}/L,2009,2009-01--2009-12,1.10833,FRDR173A,France,122.299437237519,30.8319059046492,71176346.0,2.0,75808.375,0.0057176459292674,0.0,4.457840432015055,2806036371233.86,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,0.0,22.26
